,time,Search_impression,Meta_impression,Youtube_impression,Display_impression,PMax_impression,Connectedtv_impression,Search_spend,Meta_spend,Youtube_spend,Display_spend,PMax_spend,Connectedtv_spend,conversions,revenue_per_conversion,search_interest
5460,9/3/2023,13743,1175281,218333,6036288,0,0,7689.08,4634.83,2524.57,10494.42,0,0,94,300,79
5616,9/10/2023,20022,2445269,243652,7455095,0,0,12772.24,10141.85,3027.609,12583.5,0,0,110,300,74
5772,9/17/2023,13908,2995426,553268,5592503,0,0,11092.69,15529.7,6092.368,10185.22,0,0,105,300,78
5928,9/24/2023,18576,2707192,686461,5272449,0,0,18350.53,15024.59,6798.421,9685.89,0,0,118,300,72
6084,10/1/2023,16676,2270580,528495,4362954,0,0,12855.31,10321.47,4337.847,7460.042,0,0,87,300,70
1,10/8/2023,13247,1914675,632612,3646665,0,0,9184.17,7289.5,5054.029,6873.597,0,0,93,300,73
157,10/15/2023,15734,1936604,405823,3469350,0,0,12704.23,7294.13,3687.844,7033.196,0,0,100,300,72
313,10/22/2023,13322,1860970,262199,3303090,0,0,10231.56,7343,2719.342,6992.294,0,0,92,300,76
469,10/29/2023,13141,1367320,195905,2465603,0,0,9295.2,5084.1,2139.694,5790.819,0,0,80,300,70
625,11/5/2023,12373,829790,133711,2227852,0,0,9110.72,3405.8,1461.207,5179.796,0,0,72,300,71
781,11/12/2023,11813,782657,122129,2319303,0,0,8738.85,3457.98,1434.594,5336.614,0,0,67,300,67
937,11/19/2023,10676,507184,83772,1721274,0,0,9141.31,2607.16,998.4083,3800.876,0,0,67,300,53
1093,11/26/2023,9460,1353649,263111,3919290,0,0,6274.98,6581.81,3501.329,7983.468,0,0,65,300,65
1249,12/3/2023,11355,1243646,155563,1716092,0,0,9095.45,9041.09,1918.176,3641.313,0,0,62,300,53
1405,12/10/2023,13762,74265,50778,546832,0,0,10185.99,1001.79,620.915,1886.339,0,0,60,300,60
1561,12/17/2023,13043,340398,236757,791270,0,0,11244.15,1508.59,1842.736,2393.396,0,0,66,300,40
1717,12/24/2023,12463,1312512,674891,1254090,0,0,12154.12,2760.67,3885.877,3396.353,0,0,80,300,29
1873,12/31/2023,19292,7593593,1743031,7085996,0,0,18331.52,13767.66,8949.914,14456.08,0,0,119,300,43
2029,1/7/2024,20171,9286354,1595916,9185988,0,0,20017.48,19123.14,9379.325,16252.37,0,0,129,300,54
2185,1/14/2024,18633,8979082,1705105,10117280,0,109236,15113.97,19204.15,12179.18,19226.94,0,2651.55,138,300,72
2341,1/21/2024,19925,8336513,1928975,8478974,0,329803,17739.8,19589.04,16772.11,18630.81,0,7873.95,132,300,60
2497,1/28/2024,20071,6734476,1640946,4874150,0,256927,20003.76,15426.75,14245.6,10905.71,0,6060.8,115,300,62
2653,2/4/2024,17907,4805936,1178699,4403155,6164,149832,16620.42,10299.41,9336.212,10463.74,875.4045,3582.89,110,300,59
2809,2/11/2024,17211,5001778,1151863,4429091,6804,166160,16563.47,10794.17,8958.391,11140.86,1662.562,3642.23,105,300,53
2965,2/18/2024,18517,4948394,1598133,4337854,8252,163891,18790.82,10818.17,11986.85,12731.83,1511.686,3665.36,126,300,61
3121,2/25/2024,19059,4899008,1555835,4828479,9526,144962,18497.23,10930.43,11791.27,15043.73,2063.547,3178.66,135,300,69
3277,3/3/2024,17494,5596633,1284869,6075834,4816,154635,18288.81,13380.24,9998.111,13743.35,1157.53,3534.38,164,300,58
3433,3/10/2024,18132,4441237,1299179,5137407,4446,146272,17369.41,10992.91,10375.52,12023.33,1014.342,3506.75,172,300,38
3589,3/17/2024,19255,4386699,1336987,5258739,5891,137553,17443.47,11782.37,11252.38,12378.72,913.517,3427.11,181,300,48
3745,3/24/2024,19944,4307499,1192478,5188632,10465,145792,17887.38,11740.81,9884.773,12113.21,972.4859,3529.81,179,300,51
3901,3/31/2024,18991,3083247,826258,4213759,288,69771,17694.72,9336.11,6278.996,10357.91,141.5537,1675.62,156,300,53
4057,4/7/2024,18589,2692413,740802,3992957,0,133774,18186.64,8959.44,6157.452,10237.94,0,3106.75,144,300,53
4213,4/14/2024,17447,2530114,671903,3914963,4472,172183,18710.78,8986.44,6024.184,9913.188,444.6118,3847.26,146,300,56
4369,4/21/2024,17856,2522117,1094290,3015776,30177,283464,17920.5,9057.72,9567.412,8020.503,2947.801,3775.6,178,300,55
4525,4/28/2024,20205,2600229,989426,3345762,23864,122575,16295.55,8851.26,8398.293,9380.243,2549.174,1577.99,176,300,61
4681,5/5/2024,35281,2457849,735650,3668294,4118,0,17371.93,8555.79,6194.324,9418.7,698.5807,0,179,300,64
4837,5/12/2024,43128,2382804,726480,3271826,5465,0,22571.53,8454.86,6317.876,8912.852,907.0284,0,184,300,46
4993,5/19/2024,45012,2351224,772914,3249410,7737,0,23608.09,8476.15,6831.376,8999.29,1040.917,0,175,300,42
5149,5/26/2024,27647,2166019,733170,2499567,7687,0,14924.25,7688.74,6377.096,7685.597,1013.881,0,156,300,34
5305,6/2/2024,39592,1625974,693669,1032945,10457,0,18520.73,5944.56,6153.925,4245.629,1914.683,0,104,300,38
5461,6/9/2024,47236,1836508,1017575,1036984,10315,172822,22045.59,6911.75,8170.175,4151.539,2148.35,2243.43,110,300,34
5617,6/16/2024,40134,1847143,1146780,1055582,15976,269029,17970.2,7069.89,8411.78,4103.992,2356.856,3488.65,117,300,33
5773,6/23/2024,49380,1795314,964873,1085110,28488,304614,19995.07,7023.74,6746.921,5685.575,2887.62,3694.75,110,300,37
5929,6/30/2024,39569,1387048,791668,920428,8335,68517,15065.43,5080.19,4702.373,3362.441,1033.126,853.93,114,300,33
6085,7/7/2024,43951,1623784,1029396,924781,11393,220223,18040.26,7425.03,5943.314,2938.166,1266.291,2749.17,124,300,40
2,7/14/2024,55187,1913060,1136933,879250,12015,226205,18005.26,11688.01,7380.432,3027.866,1612.208,2756.52,140,300,40
158,7/21/2024,70954,1881115,1293321,869337,7086,193399,17377.67,11284.26,9250.246,3389.207,1421.275,2465.66,144,300,42
314,7/28/2024,65926,1711575,1175689,862982,18551,480805,15330.75,9456.72,8053.198,4672.065,1411.835,6017.12,142,300,52
470,8/4/2024,59289,1840923,1408851,923755,7269,527419,16188.16,8806.2,8622.137,3460.584,1014.842,7029.64,141,300,44
626,8/11/2024,61114,2034250,1387016,960598,13005,95607,18059.9,11949.46,8805.103,3725.871,1244.878,1739.37,154,300,56
782,8/18/2024,38857,2425499,1339995,922212,16261,95997,20207.16,17519.22,8826.621,3683.638,1357.426,1710.6,161,300,80
938,8/25/2024,34031,2457005,1232187,744553,33221,81336,13659.87,31979.23,9430.975,2992.378,3564.256,1406.84,156,300,90
1094,9/1/2024,32085,1487768,791707,53402,27915,181137,8610.152,20836.07,6460.802,238.2239,5135.698,2894.46,116,300,67
1250,9/8/2024,37384,1087440,550250,55912,21725,301058,10439.79,9012.91,4469.776,240.5235,2661.366,4552.15,104,300,69
1406,9/15/2024,35469,780414,529193,13077,24410,305844,9987.31,6876.85,4281.715,51.81628,2872.481,4625.49,89,300,63
1562,9/22/2024,38604,696215,518695,0,27596,282710,10540.38,6398.91,4443.067,0,3260.52,4200.81,92,300,69
1718,9/29/2024,47940,796657,406524,0,36129,290421,17772.39,9345.27,3363.713,0,3495.25,4272.31,115,300,68
1874,10/6/2024,38957,378302,317832,0,23377,41766,9255.307,4562.68,2595.31,0,5662.585,535.47,126,300,65
2030,10/13/2024,30988,332198,291182,0,36782,0,10549.98,4291.02,2430.788,0,7257.11,0,123,300,74
2186,10/20/2024,25502,446788,437912,0,54805,0,12794.62,6364.08,3781.609,0,7793.339,0,123,300,67
2342,10/27/2024,20541,543043,368490,0,31465,0,10448.89,8539.87,3359.693,0,8622.619,0,113,300,60
2498,11/3/2024,23398,346989,95510,0,24958,0,7479.215,5214.63,716.1134,0,5476.532,0,106,300,47
2654,11/10/2024,33499,305191,65566,0,25727,0,10197.41,4510.05,643.055,0,4312.786,0,102,300,54
2810,11/17/2024,27877,150473,61510,0,34584,0,9786.131,2452.92,626.5039,0,4056.225,0,100,300,57
2966,11/24/2024,26091,122080,70018,0,78475,0,9957.801,2410.52,717.2146,0,6025.325,0,100,300,45
3122,12/1/2024,27312,47689,58676,0,35520,0,10894.66,1068.09,653.8705,0,3815.484,0,85,300,57
3278,12/8/2024,18790,75436,128613,0,12299,0,6850.314,1228.2,1531.194,0,2314.585,0,77,300,51
3434,12/15/2024,18555,41845,60726,0,6946,0,6544.546,830.21,704.7407,0,1842.565,0,66,300,38
3590,12/22/2024,20231,1543792,419509,0,49248,0,9003.74,5094.19,3216.469,0,3784.513,0,98,300,28
3746,12/29/2024,27777,2209960,712095,0,42321,0,12634.89,6290.82,4338.476,0,5061.282,0,118,300,31
3902,1/5/2025,29317,2113507,478033,0,51124,0,11290.63,4976.06,3347.502,0,6532.472,0,122,300,53
4058,1/12/2025,39378,1995074,381510,0,59400,0,13753.02,5264.52,2777.065,0,6583.751,0,114,300,72
4214,1/19/2025,39631,2859970,383223,0,73888,0,15775.66,7490.55,2808.477,0,8107.427,0,106,300,51
4370,1/26/2025,39218,2211379,616272,0,69738,0,15697.79,6280.25,5613.291,0,8680.36,0,118,300,54
4526,2/2/2025,28851,652909,125731,0,32257,221095,13845.24,2164.99,1021.776,0,6401.498,2897.88,122,300,55
4682,2/9/2025,32739,773770,124970,0,47180,459590,15790.72,3217.47,1174.122,0,7774.756,6052.13,127,300,51
4838,2/16/2025,30292,847351,154746,0,42941,448156,15216,3756.89,1263.925,0,8466.955,6003.44,120,300,57
4994,2/23/2025,32832,695480,148266,0,68985,373060,17787.3,2738.74,1223.293,0,9162.994,5084.55,113,300,64
5150,3/2/2025,27540,239607,123160,0,21448,0,12851.18,1343.56,1060.448,0,5441.888,0,91,300,59
5306,3/9/2025,25058,199133,118256,0,24223,0,11484.32,1253.78,1168.749,0,5277.555,0,87,300,39
5462,3/16/2025,26028,213053,108973,0,17745,0,11582.27,1332.11,1124.727,0,4448.555,0,87,300,56
5618,3/23/2025,3183,32914,15489,0,3303,0,1616.113,212.76,157.3994,0,597.0467,0,12,300,55
